;son;voc;cons;cor;ant;high;low;back;md;tns;nsl;ltr;cont;drls;vcd
и;+;+;-;0;0;+;-;-;-;+;0;0;0;0;0
ы;+;+;-;0;0;+;-;+;-;+;0;0;0;0;0
е;+;+;-;0;0;-;-;-;-;+;0;0;0;0;0
э;+;+;-;0;0;-;-;+;-;+;0;0;0;0;0
;+;+;-;0;0;-;+;-;-;+;0;0;0;0;0
а;+;+;-;0;0;-;+;+;-;+;0;0;0;0;0
у;+;+;-;0;0;+;-;+;+;+;0;0;0;0;0
у;+;+;-;0;0;+;-;-;+;+;0;0;0;0;0
о;+;+;-;0;0;-;-;+;+;+;0;0;0;0;0
ъ;+;+;-;0;0;-;-;+;-;-;0;0;0;0;0
ь;+;+;-;0;0;-;-;-;-;-;0;0;0;0;0
ṷ (и);+;-;-;-;-;0;0;-;0;0;-;-;+;0;0
ў;+;-;-;-;+;0;0;+;0;0;-;-;+;0;0
п;-;-;+;-;+;0;0;+;0;0;-;-;-;-;-
п’;-;-;+;-;+;0;0;-;0;0;-;-;-;-;-
б;-;-;+;-;+;0;0;+;0;0;-;-;-;-;+
б’;-;-;+;-;+;0;0;-;0;0;-;-;-;-;+
ф;-;-;+;-;+;0;0;+;0;0;-;-;+;0;-
ф’;-;-;+;-;+;0;0;-;0;0;-;-;+;0;-
в;-;0;+;-;+;0;0;+;0;0;-;-;+;0;+
в’;-;0;+;-;+;0;0;-;0;0;-;-;+;0;+
м;+;-;+;-;+;0;0;+;0;0;+;-;-;-;0
м’;+;-;+;-;+;0;0;-;0;0;+;-;-;-;0
т;-;-;+;+;+;0;0;+;0;0;-;-;-;-;-
т’;-;-;+;+;+;0;0;-;0;0;-;-;-;-;-
д;-;-;+;+;+;0;0;+;0;0;-;-;-;-;+
д’;-;-;+;+;+;0;0;-;0;0;-;-;-;-;+
с;-;-;+;+;+;0;0;+;0;0;-;-;+;0;-
с’;-;-;+;+;+;0;0;-;0;0;-;-;+;0;-
з;-;-;+;+;+;0;0;+;0;0;-;-;+;0;+
з’;-;-;+;+;+;0;0;-;0;0;-;-;+;0;+
н;+;-;+;+;+;0;0;+;0;0;+;-;-;-;0
н’;+;-;+;+;+;0;0;-;0;0;+;-;-;-;0
л;+;+;+;+;+;0;0;+;0;0;-;+;0;0;0
л’;+;+;+;+;+;0;0;-;0;0;-;+;0;0;0
ц;-;-;+;+;+;0;0;+;0;0;-;-;-;+;-
дз;-;-;+;+;+;0;0;+;0;0;-;-;-;+;+
ш;-;-;+;+;-;0;0;+;0;0;-;-;+;0;-
ш’;-;-;+;+;-;0;0;-;0;0;-;-;+;0;-
ж;-;-;+;+;-;0;0;+;0;0;-;-;+;0;+
ж’;-;-;+;+;-;0;0;-;0;0;-;-;+;0;+
ч’;-;-;+;+;-;0;0;-;0;0;-;-;-;+;-
дж’;-;-;+;+;-;0;0;-;0;0;-;-;-;+;+
р;+;+;+;+;-;0;0;+;0;0;-;-;-;-;0
р’;+;+;+;+;-;0;0;-;0;0;-;-;-;-;0
j;+;-;+;-;-;0;0;-;0;0;-;-;+;0;0
к;-;-;+;-;-;0;0;+;0;0;-;-;-;-;-
к’;-;-;+;-;-;0;0;-;0;0;-;-;-;-;-
г;-;-;+;-;-;0;0;+;0;0;-;-;-;-;+
г’;-;-;+;-;-;0;0;-;0;0;-;-;-;-;+
х;-;-;+;-;-;0;0;+;0;0;-;-;+;0;-
х’;-;-;+;-;-;0;0;-;0;0;-;-;+;0;-
ɣ;-;-;+;-;-;0;0;+;0;0;-;-;+;0;+
ŋ;+;-;+;-;-;0;0;+;0;0;+;-;-;-;0
